policy	direct_dependency	theorem_count	dependency_class	module
strict_zero	eq_self	3193	1	Init.SimpLemmas
strict_zero	propext	2682	1	Init.Core
strict_zero	funext	1900	2	Init.Core
strict_zero	forall_congr	1689	2	Init.SimpLemmas
strict_zero	iff_self	1490	1	Init.SimpLemmas
strict_zero	Eq.propIntro	854	1	Init.Core
strict_zero	eq_true	541	1	Init.SimpLemmas
strict_zero	Set.ext	517	3	Mathlib.Data.Set.Defs
strict_zero	Set.instCompleteAtomicBooleanAlgebra	478	7	Mathlib.Data.Set.BooleanAlgebra
strict_zero	implies_true	392	1	Init.SimpLemmas
strict_zero	eq_false	373	1	Init.SimpLemmas
strict_zero	not_false_eq_true	369	1	Init.SimpLemmas
strict_zero	EquivLike.toFunLike	332	2	Mathlib.Data.FunLike.Equiv
strict_zero	SubtractionMonoid.toSubNegZeroMonoid	294	1	Mathlib.Algebra.Group.Basic
strict_zero	Classical.propDecidable	291	7	Init.Classical
strict_zero	true_and	276	1	Init.SimpLemmas
strict_zero	Set.instBooleanAlgebra	231	7	Mathlib.Order.BooleanAlgebra.Set
strict_zero	and_true	213	1	Init.SimpLemmas
strict_zero	and_self	198	1	Init.SimpLemmas
strict_zero	covariant_swap_add_of_covariant_add	162	3	Mathlib.Algebra.Order.Monoid.Unbundled.Defs
strict_zero	DivisionMonoid.toDivInvOneMonoid	159	1	Mathlib.Algebra.Group.Basic
strict_zero	BooleanAlgebra.toBiheytingAlgebra	152	7	Mathlib.Order.BooleanAlgebra.Basic
strict_zero	and_false	142	1	Init.SimpLemmas
strict_zero	Nat.instNeZeroSucc	137	1	Init.Data.Nat.Basic
strict_zero	Std.le_refl._simp_1	116	1	Init.Data.Order.Lemmas
strict_zero	or_false	114	1	Init.SimpLemmas
strict_zero	Nat.instAddMonoid	112	1	Mathlib.Algebra.Group.Nat.Defs
strict_zero	implies_congr_ctx	112	1	Init.SimpLemmas
strict_zero	Nat.instAddCommSemigroup	108	1	Mathlib.Algebra.Group.Nat.Defs
strict_zero	imp_self._simp_1	108	1	Init.Core
strict_zero	not_true_eq_false	104	1	Init.SimpLemmas
strict_zero	eq_false'	101	1	Init.SimpLemmas
strict_zero	Nat.instMulZeroClass	95	1	Mathlib.Algebra.GroupWithZero.Nat
strict_zero	Set.mem_singleton_iff._simp_1	95	1	Mathlib.Data.Set.Insert
strict_zero	IsLeftCancelAdd.addLeftReflectLE_of_addLeftReflectLT	93	7	Mathlib.Algebra.Order.Monoid.Unbundled.Defs
strict_zero	false_and	92	1	Init.SimpLemmas
strict_zero	Set.mem_univ._simp_1	90	1	Mathlib.Data.Set.Operations
strict_zero	Nat.instAddCommMonoid	88	1	Mathlib.Algebra.Group.Nat.Defs
strict_zero	eq_or_ne	87	7	Mathlib.Logic.Basic
strict_zero	DFunLike.ext	86	2	Mathlib.Data.FunLike.Basic
strict_zero	Set.image_congr	84	3	Mathlib.Data.Set.Image
strict_zero	false_or	84	1	Init.SimpLemmas
strict_zero	or_true	84	1	Init.SimpLemmas
strict_zero	forall_exists_index._simp_1	83	1	Init.PropLemmas
strict_zero	true_or	81	1	Init.SimpLemmas
strict_zero	CategoryTheory.Iso.inv_hom_id_assoc	80	2	Mathlib.CategoryTheory.Iso
strict_zero	Finset	77	3	Mathlib.Data.Finset.Defs
strict_zero	Finset.instSetLike	76	7	Mathlib.Data.Finset.Defs
strict_zero	Nat.instIsOrderedAddMonoid	76	1	Mathlib.Algebra.Order.Group.Nat
strict_zero	forall_const._simp_1	72	1	Init.PropLemmas
strict_zero	Classical.byContradiction	71	7	Init.Classical
strict_zero	Set.Finite.subset	71	7	Mathlib.Data.Set.Finite.Basic
strict_zero	List.not_mem_nil._simp_1	70	1	Init.Data.List.Lemmas
strict_zero	Nat.instCommSemiring	69	1	Mathlib.Algebra.Ring.Nat
strict_zero	Set.Subset.antisymm	69	3	Mathlib.Data.Set.Basic
strict_zero	addRightReflectLE_of_addLeftReflectLE	69	3	Mathlib.Algebra.Order.Monoid.Unbundled.Defs
strict_zero	IsEmpty.forall_iff._simp_1	68	1	Mathlib.Logic.IsEmpty.Defs
strict_zero	Prod.mk.injEq	68	1	Init.Core
strict_zero	List.mem_cons._simp_1	67	1	Init.Data.List.Lemmas
strict_zero	instDistribLatticeOfLinearOrder	66	1	Mathlib.Order.Lattice
strict_zero	or_self	66	1	Init.SimpLemmas
strict_zero	Set.mem_image._simp_1	62	1	Mathlib.Data.Set.Operations
strict_zero	exists_prop._simp_1	62	1	Init.PropLemmas
strict_zero	CategoryTheory.Iso.isIso_hom	61	1	Mathlib.CategoryTheory.Iso
strict_zero	Set.mem_range._simp_1	61	1	Mathlib.Data.Set.Operations
strict_zero	iSup_congr_Prop	61	3	Mathlib.Order.CompleteLattice.Basic
strict_zero	Int.instSemiring	60	1	Mathlib.Algebra.Ring.Int.Defs
strict_zero	Set.forall_mem_range	60	3	Mathlib.Data.Set.Image
